Name,EA2BX4 (eV),Part1,EPart1 (eV),Part2,EPart2 (eV),Part3,EPart3 (eV),Ef (eV),Efa (eV/atom),A1,A2,B,X1,X2,X3,X4,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint
Rb2GeCl4 ,-5617.54622,GeCl2,-3384.425335,RbCl,-1115.301352,RbCl,-1115.301352,-2.518181049,-0.35974015,Rb,Rb,Ge,Cl,Cl,Cl,Cl,37,37,32,17,17,17,17,48,48,41,18,18,18,18,5,5,4,3,3,3,3,0.363,0.363,0.32,0.479,0.479,0.479,0.479,1.53,1.53,5.32,0.00321,0.00321,0.00321,0.00321,3,3,1.5,0.97,0.97,0.97,0.97,4.1771,4.1771,7.8994,12.9676,12.9676,12.9676,12.9676,85.468,85.468,72.64,35.453,35.453,35.453,35.453,312.79,312.79,1211.45,172.31,172.31,172.31,172.31
Cs2GeCl4 ,-5786.899021,GeCl2,-3384.425335,CsCl,-1199.475381,CsCl,-1199.475381,-3.522924297,-0.5032749,Cs,Cs,Ge,Cl,Cl,Cl,Cl,55,55,32,17,17,17,17,78,78,41,18,18,18,18,6,6,4,3,3,3,3,0.242,0.242,0.32,0.479,0.479,0.479,0.479,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,3.3,3.3,1.5,0.97,0.97,0.97,0.97,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,132.905,132.905,72.64,35.453,35.453,35.453,35.453,301.7,301.7,1211.45,172.31,172.31,172.31,172.31
Li2SnCl4 ,-4149.964295,SnCl2,"-2,896.18",LiCl,-627.3825355,LiCl,-627.3825355,0.9768735,0.139553357,Li,Li,Sn,Cl,Cl,Cl,Cl,3,3,50,17,17,17,17,4,4,69,18,18,18,18,2,2,5,3,3,3,3,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,2.1,2.1,1.7,0.97,0.97,0.97,0.97,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,6.941,6.941,118.71,35.453,35.453,35.453,35.453,453.85,453.85,505.21,172.31,172.31,172.31,172.31
Na2SnCl4 ,-6355.65018,SnCl2,"-2,896.18",NaCl,-1729.466839,NaCl,-1729.466839,-0.54040517,-0.077200739,Na,Na,Sn,Cl,Cl,Cl,Cl,11,11,50,17,17,17,17,12,12,69,18,18,18,18,3,3,5,3,3,3,3,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,2.2,2.2,1.7,0.97,0.97,0.97,0.97,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,22.99,22.99,118.71,35.453,35.453,35.453,35.453,371.15,371.15,505.21,172.31,172.31,172.31,172.31
K2SnCl4 ,-5330.191646,SnCl2,"-2,896.18",KCl,-1217.278105,KCl,-1217.278105,0.540661214,0.077237316,K,K,Sn,Cl,Cl,Cl,Cl,19,19,50,17,17,17,17,20,20,69,18,18,18,18,4,4,5,3,3,3,3,0.757,0.757,0.228,0.479,0.479,0.479,0.479,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,2.8,2.8,1.7,0.97,0.97,0.97,0.97,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,39.098,39.098,118.71,35.453,35.453,35.453,35.453,336.5,336.5,505.21,172.31,172.31,172.31,172.31
Rb2SnCl4 ,-5128.741271,SnCl2,"-2,896.18",RbCl,-1115.301352,RbCl,-1115.301352,-1.962469838,-0.280352834,Rb,Rb,Sn,Cl,Cl,Cl,Cl,37,37,50,17,17,17,17,48,48,69,18,18,18,18,5,5,5,3,3,3,3,0.363,0.363,0.228,0.479,0.479,0.479,0.479,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,3,3,1.7,0.97,0.97,0.97,0.97,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,85.468,85.468,118.71,35.453,35.453,35.453,35.453,312.79,312.79,505.21,172.31,172.31,172.31,172.31
Cs2SnCl4 ,-5298.103631,SnCl2,"-2,896.18",CsCl,-1199.475381,CsCl,-1199.475381,-2.976772086,-0.425253155,Cs,Cs,Sn,Cl,Cl,Cl,Cl,55,55,50,17,17,17,17,78,78,69,18,18,18,18,6,6,5,3,3,3,3,0.242,0.242,0.228,0.479,0.479,0.479,0.479,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,3.3,3.3,1.7,0.97,0.97,0.97,0.97,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,132.905,132.905,118.71,35.453,35.453,35.453,35.453,301.7,301.7,505.21,172.31,172.31,172.31,172.31
Li2PbCl4 ,-7533.576049,PbCl2,"-6,276.55",LiCl,-627.3825355,LiCl,-627.3825355,-2.259763,-0.322823286,Li,Li,Pb,Cl,Cl,Cl,Cl,3,3,82,17,17,17,17,4,4,125,18,18,18,18,2,2,6,3,3,3,3,3.582,3.582,0.129,0.479,0.479,0.479,0.479,0.534,0.534,11.3,0.00321,0.00321,0.00321,0.00321,2.1,2.1,1.8,0.97,0.97,0.97,0.97,5.3917,5.3917,7.4167,12.9676,12.9676,12.9676,12.9676,6.941,6.941,207.2,35.453,35.453,35.453,35.453,453.85,453.85,600.75,172.31,172.31,172.31,172.31
Na2PbCl4 ,-9736.743457,PbCl2,"-6,276.55",NaCl,-1729.466839,NaCl,-1729.466839,-1.25856467,-0.179794953,Na,Na,Pb,Cl,Cl,Cl,Cl,11,11,82,17,17,17,17,12,12,125,18,18,18,18,3,3,6,3,3,3,3,1.228,1.228,0.129,0.479,0.479,0.479,0.479,0.971,0.971,11.3,0.00321,0.00321,0.00321,0.00321,2.2,2.2,1.8,0.97,0.97,0.97,0.97,5.1391,5.1391,7.4167,12.9676,12.9676,12.9676,12.9676,22.99,22.99,207.2,35.453,35.453,35.453,35.453,371.15,371.15,600.75,172.31,172.31,172.31,172.31
K2PbCl4 ,-8711.538467,PbCl2,"-6,276.55",KCl,-1217.278105,KCl,-1217.278105,-0.431042286,-0.061577469,K,K,Pb,Cl,Cl,Cl,Cl,19,19,82,17,17,17,17,20,20,125,18,18,18,18,4,4,6,3,3,3,3,0.757,0.757,0.129,0.479,0.479,0.479,0.479,0.862,0.862,11.3,0.00321,0.00321,0.00321,0.00321,2.8,2.8,1.8,0.97,0.97,0.97,0.97,4.3407,4.3407,7.4167,12.9676,12.9676,12.9676,12.9676,39.098,39.098,207.2,35.453,35.453,35.453,35.453,336.5,336.5,600.75,172.31,172.31,172.31,172.31
Rb2PbCl4 ,-8509.822242,PbCl2,"-6,276.55",RbCl,-1115.301352,RbCl,-1115.301352,-2.668323338,-0.381189048,Rb,Rb,Pb,Cl,Cl,Cl,Cl,37,37,82,17,17,17,17,48,48,125,18,18,18,18,5,5,6,3,3,3,3,0.363,0.363,0.129,0.479,0.479,0.479,0.479,1.53,1.53,11.3,0.00321,0.00321,0.00321,0.00321,3,3,1.8,0.97,0.97,0.97,0.97,4.1771,4.1771,7.4167,12.9676,12.9676,12.9676,12.9676,85.468,85.468,207.2,35.453,35.453,35.453,35.453,312.79,312.79,600.75,172.31,172.31,172.31,172.31
Cs2PbCl4 ,-8679.194419,PbCl2,"-6,276.55",CsCl,-1199.475381,CsCl,-1199.475381,-3.692442586,-0.527491798,Cs,Cs,Pb,Cl,Cl,Cl,Cl,55,55,82,17,17,17,17,78,78,125,18,18,18,18,6,6,6,3,3,3,3,0.242,0.242,0.129,0.479,0.479,0.479,0.479,1.87,1.87,11.3,0.00321,0.00321,0.00321,0.00321,3.3,3.3,1.8,0.97,0.97,0.97,0.97,3.8939,3.8939,7.4167,12.9676,12.9676,12.9676,12.9676,132.905,132.905,207.2,35.453,35.453,35.453,35.453,301.7,301.7,600.75,172.31,172.31,172.31,172.31
Li2GeBr4 ,-4802.114496,GeBr2,-3464.908062,LiBr,-669.167853,LiBr,-669.167853,1.129271652,0.161324522,Li,Li,Ge,Br,Br,Br,Br,3,3,32,35,35,35,35,4,4,41,45,45,45,45,2,2,4,4,4,4,4,3.582,3.582,0.32,0.474,0.474,0.474,0.474,0.534,0.534,5.32,3.12,3.12,3.12,3.12,2.1,2.1,1.5,1.1,1.1,1.1,1.1,5.3917,5.3917,7.8994,11.8138,11.8138,11.8138,11.8138,6.941,6.941,72.64,79.904,79.904,79.904,79.904,453.85,453.85,1211.45,266.05,266.05,266.05,266.05
Na2GeBr4 ,-7007.75117,GeBr2,-3464.908062,NaBr,-1769.14858,NaBr,-1769.14858,-4.54594823,-0.649421176,Na,Na,Ge,Br,Br,Br,Br,11,11,32,35,35,35,35,12,12,41,45,45,45,45,3,3,4,4,4,4,4,1.228,1.228,0.32,0.474,0.474,0.474,0.474,0.971,0.971,5.32,3.12,3.12,3.12,3.12,2.2,2.2,1.5,1.1,1.1,1.1,1.1,5.1391,5.1391,7.8994,11.8138,11.8138,11.8138,11.8138,22.99,22.99,72.64,79.904,79.904,79.904,79.904,371.15,371.15,1211.45,266.05,266.05,266.05,266.05
K2GeBr4 ,-5982.225723,GeBr2,-3464.908062,KBr,-1256.924315,KBr,-1256.924315,-3.469031154,-0.495575879,K,K,Ge,Br,Br,Br,Br,19,19,32,35,35,35,35,20,20,41,45,45,45,45,4,4,4,4,4,4,4,0.757,0.757,0.32,0.474,0.474,0.474,0.474,0.862,0.862,5.32,3.12,3.12,3.12,3.12,2.8,2.8,1.5,1.1,1.1,1.1,1.1,4.3407,4.3407,7.8994,11.8138,11.8138,11.8138,11.8138,39.098,39.098,72.64,79.904,79.904,79.904,79.904,336.5,336.5,1211.45,266.05,266.05,266.05,266.05
Rb2GeBr4 ,-5780.669715,GeBr2,-3464.908062,RbBr,-1156.14806,RbBr,-1156.14806,-3.465533028,-0.495076147,Rb,Rb,Ge,Br,Br,Br,Br,37,37,32,35,35,35,35,48,48,41,45,45,45,45,5,5,4,4,4,4,4,0.363,0.363,0.32,0.474,0.474,0.474,0.474,1.53,1.53,5.32,3.12,3.12,3.12,3.12,3,3,1.5,1.1,1.1,1.1,1.1,4.1771,4.1771,7.8994,11.8138,11.8138,11.8138,11.8138,85.468,85.468,72.64,79.904,79.904,79.904,79.904,312.79,312.79,1211.45,266.05,266.05,266.05,266.05
Cs2GeBr4 ,-5949.968748,GeBr2,-3464.908062,CsBr,-1240.628356,CsBr,-1240.628356,-3.803974914,-0.543424988,Cs,Cs,Ge,Br,Br,Br,Br,55,55,32,35,35,35,35,78,78,41,45,45,45,45,6,6,4,4,4,4,4,0.242,0.242,0.32,0.474,0.474,0.474,0.474,1.87,1.87,5.32,3.12,3.12,3.12,3.12,3.3,3.3,1.5,1.1,1.1,1.1,1.1,3.8939,3.8939,7.8994,11.8138,11.8138,11.8138,11.8138,132.905,132.905,72.64,79.904,79.904,79.904,79.904,301.7,301.7,1211.45,266.05,266.05,266.05,266.05
Li2SnBr4 ,-4313.218895,SnBr2,-2977.570521,LiBr,-669.167853,LiBr,-669.167853,2.687332194,0.383904599,Li,Li,Sn,Br,Br,Br,Br,3,3,50,35,35,35,35,4,4,69,45,45,45,45,2,2,5,4,4,4,4,3.582,3.582,0.228,0.474,0.474,0.474,0.474,0.534,0.534,7.29,3.12,3.12,3.12,3.12,2.1,2.1,1.7,1.1,1.1,1.1,1.1,5.3917,5.3917,7.3439,11.8138,11.8138,11.8138,11.8138,6.941,6.941,118.71,79.904,79.904,79.904,79.904,453.85,453.85,505.21,266.05,266.05,266.05,266.05
Na2SnBr4 ,-6518.84666,SnBr2,-2977.570521,NaBr,-1769.14858,NaBr,-1769.14858,-2.978978688,-0.425568384,Na,Na,Sn,Br,Br,Br,Br,11,11,50,35,35,35,35,12,12,69,45,45,45,45,3,3,5,4,4,4,4,1.228,1.228,0.228,0.474,0.474,0.474,0.474,0.971,0.971,7.29,3.12,3.12,3.12,3.12,2.2,2.2,1.7,1.1,1.1,1.1,1.1,5.1391,5.1391,7.3439,11.8138,11.8138,11.8138,11.8138,22.99,22.99,118.71,79.904,79.904,79.904,79.904,371.15,371.15,505.21,266.05,266.05,266.05,266.05
K2SnBr4 ,-5493.301198,SnBr2,-2977.570521,KBr,-1256.924315,KBr,-1256.924315,-1.882046612,-0.268863802,K,K,Sn,Br,Br,Br,Br,19,19,50,35,35,35,35,20,20,69,45,45,45,45,4,4,5,4,4,4,4,0.757,0.757,0.228,0.474,0.474,0.474,0.474,0.862,0.862,7.29,3.12,3.12,3.12,3.12,2.8,2.8,1.7,1.1,1.1,1.1,1.1,4.3407,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,39.098,39.098,118.71,79.904,79.904,79.904,79.904,336.5,336.5,505.21,266.05,266.05,266.05,266.05
Rb2SnBr4 ,-5291.778399,SnBr2,-2977.570521,RbBr,-1156.14806,RbBr,-1156.14806,-1.911757486,-0.273108212,Rb,Rb,Sn,Br,Br,Br,Br,37,37,50,35,35,35,35,48,48,69,45,45,45,45,5,5,5,4,4,4,4,0.363,0.363,0.228,0.474,0.474,0.474,0.474,1.53,1.53,7.29,3.12,3.12,3.12,3.12,3,3,1.7,1.1,1.1,1.1,1.1,4.1771,4.1771,7.3439,11.8138,11.8138,11.8138,11.8138,85.468,85.468,118.71,79.904,79.904,79.904,79.904,312.79,312.79,505.21,266.05,266.05,266.05,266.05
Cs2SnBr4 ,-5461.108635,SnBr2,-2977.570521,CsBr,-1240.628356,CsBr,-1240.628356,-2.281402372,-0.325914625,Cs,Cs,Sn,Br,Br,Br,Br,55,55,50,35,35,35,35,78,78,69,45,45,45,45,6,6,5,4,4,4,4,0.242,0.242,0.228,0.474,0.474,0.474,0.474,1.87,1.87,7.29,3.12,3.12,3.12,3.12,3.3,3.3,1.7,1.1,1.1,1.1,1.1,3.8939,3.8939,7.3439,11.8138,11.8138,11.8138,11.8138,132.905,132.905,118.71,79.904,79.904,79.904,79.904,301.7,301.7,505.21,266.05,266.05,266.05,266.05
